Temperature,Preheat,Heating,Cooling,Reached,
,67,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,67,No,No,No,No
,67,No,No,No,No
,66,No,No,No,No
,66,No,No,No,No
,66,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,66,No,No,No,No
,64,No,No,No,No
,64,No,No,No,No
,65,No,No,No,No
,65,No,No,No,No
,64,No,No,No,No
,63,No,No,No,No
,63,No,No,No,No
,64,No,No,No,No
,63,No,No,No,No
,63,No,No,No,No
,62,No,No,No,No
,62,No,No,No,No
,62,No,No,No,No
,63,No,No,No,No
,63,No,No,No,No
,63,No,No,No,No
,63,No,No,No,No
,62,No,No,No,No
,62,No,No,No,No
,62,No,No,No,No
,61,No,No,No,No
,61,No,No,No,No
,61,No,No,No,No
,61,No,No,No,No
,61,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,59,No,No,No,No
,59,No,No,No,No
,59,No,No,No,No
,59,No,No,No,No
,59,No,No,No,No
,59,No,No,No,No
,59,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,60,No,No,No,No
,59,No,No,No,No
,58,No,No,No,No
,58,No,No,No,No
,58,No,No,No,No
,58,No,No,No,No
,58,No,No,No,No
,57,No,No,No,No
,57,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,56,No,No,No,No
,55,No,No,No,No
,55,No,No,No,No
,54,No,No,No,No
,54,No,No,No,No
,54,No,No,No,No
,54,No,No,No,No
,54,No,No,No,No
